Country,Year,InjuriesPerMillion
France,1971,6741
France,1970,6333
France,1969,6186
France,1968,6259
France,1967,6082
France,1966,5901
France,1965,5953
France,1964,5466
France,1996,2927
France,1995,3131
France,1994,3131
France,1993,3284
France,1992,3453
France,1991,3606
France,1990,3974
France,1989,4171
France,1988,4361
France,1987,4268
France,1986,4674
France,1985,4910
France,1984,5146
France,1983,5386
France,1982,5719
France,1981,5785
France,1980,6209
France,1979,6281
France,1978,6152
France,1977,6527
France,1976,6586
France,1975,6573
France,1974,6563
France,2022,996
France,2021,1025
France,2020,828
France,2019,1106
France,2018,1095
France,2017,1152
France,2016,1124
France,2015,1101
France,2014,1137
France,2013,1107
France,2012,1193
France,2011,1285
France,2010,1342
France,2009,1450
France,2008,1507
France,2007,1668
France,2006,1666
France,2005,1768
France,2004,1727
France,2003,1916
France,2002,2293
France,2001,2579
France,2000,2735
Germany,1998,6106
Germany,1997,6148
Germany,1963,7368
Germany,1962,7526
Germany,1961,7974
Germany,1960,8185
Germany,1973,7878
Germany,1972,8570
Germany,1971,8451
Germany,1970,8768
Germany,1969,7763
Germany,1968,7788
Germany,1967,7717
Germany,1966,7660
Germany,1965,7346
Germany,1964,7657
Germany,1996,6054
Germany,1995,6299
Germany,1994,6364
Germany,1993,6246
Germany,1992,6412
Germany,1991,6320
Germany,1990,7085
Germany,1989,7241
Germany,1988,7294
Germany,1987,6952
Germany,1986,7258
Germany,1985,6917
Germany,1984,7618
Germany,1983,7965
Germany,1982,7580
Germany,1981,7716
Germany,1980,8129
Germany,1979,7928
Germany,1978,8294
Germany,1977,8276
Germany,1976,7810
Germany,1975,7404
Germany,1974,7206
Germany,2021,3884
Germany,2020,3939
Germany,2019,4624
Germany,2018,4777
Germany,2017,4722
Germany,2016,4817
Germany,2015,4816
Germany,2014,4810
Germany,2013,4639
Germany,2012,4779
Germany,2011,4888
Germany,2010,4623
Germany,2009,4941
Germany,2008,5065
Germany,2007,5327
Germany,2006,5203
Germany,2005,5329
Germany,2004,5403
Germany,2003,5667
Germany,2002,5840
Germany,2001,6070
Germany,2000,6188
Greece,2001,2430
Greece,2000,2855
Greece,1966,2484
Greece,1965,2231
Greece,1964,2108
Greece,1963,1801
Greece,1976,2419
Greece,1975,2459
Greece,1974,2411
Greece,1973,2711
Greece,1972,2770
Greece,1971,2818
Greece,1970,2819
Greece,1969,2503
Greece,1968,2217
Greece,1967,2207
Greece,1999,3043
Greece,1998,3153
Greece,1997,3148
Greece,1996,3093
Greece,1995,2959
Greece,1994,2888
Greece,1993,2867
Greece,1992,2921
Greece,1991,2818
Greece,1990,2696
Greece,1989,2866
Greece,1988,2926
Greece,1987,2648
Greece,1986,2759
Greece,1985,3068
Greece,1984,3012
Greece,1983,2882
Greece,1982,3225
Greece,1981,2848
Greece,1980,2639
Greece,1979,2712
Greece,1978,2562
Greece,1977,2515
Greece,2022,1207
Greece,2021,1157
Greece,2020,1009
Greece,2019,1212
Greece,2018,1224
Greece,2017,1232
Greece,2016,1282
Greece,2015,1298
Greece,2014,1333
Greece,2013,1379
Greece,2012,1411
Greece,2011,1552
Greece,2010,1718
Greece,2009,1680
Greece,2008,1719
Greece,2007,1791
Greece,2006,1879
Greece,2005,2010
Greece,2004,1844
Greece,2003,1900
Hungary,2006,2907
Hungary,2005,2853
Hungary,1971,2961
Hungary,1970,2934
Hungary,1965,1859
Hungary,1960,751
Hungary,1981,2171
Hungary,1980,2225
Hungary,1979,2376
Hungary,1978,2330
Hungary,1977,2412
Hungary,1976,2261
Hungary,1975,2496
Hungary,1974,2566
Hungary,1973,2498
Hungary,1972,2583
Hungary,2004,2904
Hungary,2003,2760
Hungary,2002,2698
Hungary,2001,2492
Hungary,2000,2340
Hungary,1999,2537
Hungary,1998,2704
Hungary,1997,2541
Hungary,1996,2455
Hungary,1995,2660
Hungary,1994,2758
Hungary,1993,2617
Hungary,1992,3344
Hungary,1991,3354
Hungary,1990,3801
Hungary,1989,3030
Hungary,1988,2621
Hungary,1987,2399
Hungary,1986,2335
Hungary,1985,2333
Hungary,1984,2321
Hungary,1983,2235
Hungary,1982,2122
Hungary,2022,2082
Hungary,2021,1971
Hungary,2020,1864
Hungary,2019,2272
Hungary,2018,2315
Hungary,2017,2255
Hungary,2016,2235
Hungary,2015,2189
Hungary,2014,2103
Hungary,2013,2090
Hungary,2012,1974
Hungary,2011,2090
Hungary,2010,2166
Hungary,2009,2404
Hungary,2008,2626
Iceland,2004,3951
Iceland,2003,4220.9
Iceland,1969,3686
Iceland,1968,3255
Iceland,1967,2788
Iceland,1966,3604
Iceland,1979,2610
Iceland,1978,3172
Iceland,1977,2417
Iceland,1976,2484
Iceland,1975,3092
Iceland,1974,6315
Iceland,1973,5732
Iceland,1972,5712
Iceland,1971,5179
Iceland,1970,4553
Iceland,2002,5164.2
Iceland,2001,4483.4
Iceland,2000,5292.5
Iceland,1999,6151.1
Iceland,1998,5763.5
Iceland,1997,5522
Iceland,1996,5793.4
Iceland,1995,6099.9
Iceland,1994,5538
Iceland,1993,5436.3
Iceland,1992,5082.3
Iceland,1991,4364.9
Iceland,1990,3363.6
Iceland,1989,3177.1
Iceland,1988,3645.7
Iceland,1987,3882.7
Iceland,1986,3157.8
Iceland,1985,3682.6
Iceland,1984,3181.7
Iceland,1983,2586.1
Iceland,1982,3179.5
Iceland,1981,3063.2
Iceland,1980,3007
Iceland,2022,2934.5
Iceland,2021,3095.1
Iceland,2020,2747.9
Iceland,2019,3134
Iceland,2018,3603.4
Iceland,2017,3992.4
Iceland,2016,4206.4
Iceland,2015,3953.9
Iceland,2014,3567.7
Iceland,2013,3758.9
Iceland,2012,3227.2
Iceland,2011,3814.9
Iceland,2010,3965.3
Iceland,2009,4015.7
Iceland,2008,4925.6
Iceland,2007,5324.4
Iceland,2006,4360.3
Ireland,1998,3439
Ireland,1997,3582
Ireland,1963,1552
Ireland,1962,1823
Ireland,1961,1807
Ireland,1960,1923
Ireland,1973,2851
Ireland,1972,2961
Ireland,1971,3233
Ireland,1970,3142
Ireland,1969,3269
Ireland,1968,3335
Ireland,1967,1963
Ireland,1966,1744
Ireland,1965,1846
Ireland,1964,1698
Ireland,1996,3673
Ireland,1995,3519
Ireland,1994,2855
Ireland,1993,2759
Ireland,1992,2871
Ireland,1991,2802
Ireland,1990,2692
Ireland,1989,2504
Ireland,1988,2385
Ireland,1987,2373
Ireland,1986,2350
Ireland,1985,2208
Ireland,1984,2326
Ireland,1983,2267
Ireland,1982,2301
Ireland,1981,2406
Ireland,1980,2500
Ireland,1979,2450
Ireland,1978,2810
Ireland,1977,2602
Ireland,1976,2416
Ireland,1975,2266
Ireland,1974,2653
Ireland,2022,1431.7
Ireland,2021,1237.2
Ireland,2020,1126.1
Ireland,2019,1655.6
Ireland,2018,1646
Ireland,2017,1620
Ireland,2016,1627
Ireland,2015,1665
Ireland,2014,1732
Ireland,2013,1498
Ireland,2012,1735
Ireland,2011,1588
Ireland,2010,1815
Ireland,2009,2149
Ireland,2008,2168
Ireland,2007,1770
Ireland,2006,1998
Ireland,2005,2278
Ireland,2004,1955
Ireland,2003,2109
Ireland,2002,2385
Ireland,2001,2693
Ireland,2000,3213
Israel,1998,8595
Israel,1997,8571
Israel,1963,5809
Israel,1962,5189
Israel,1961,4986
Israel,1960,4897
Israel,1973,6420
Israel,1972,6733
Israel,1971,6641
Israel,1970,6388
Israel,1969,5901
Israel,1968,5479
Israel,1967,5400
Israel,1966,5799
Israel,1965,5907
Israel,1964,6337
Israel,1996,8522
Israel,1995,7355
Israel,1994,7146
Israel,1993,7629
Israel,1992,7745
Israel,1991,6680
Israel,1990,6117
Israel,1989,5450
Israel,1988,5283
Israel,1987,5309
Israel,1986,5140
Israel,1985,4598
Israel,1984,4734
Israel,1983,5021
Israel,1982,4778
Israel,1981,4922
Israel,1980,4798
Israel,1979,5590
Israel,1978,6644
Israel,1977,6404
Israel,1976,6054
Israel,1975,6252
Israel,1974,6170
Israel,2022,1875
Israel,2021,2120
Israel,2020,1945
Israel,2019,2500
Israel,2018,2556
Israel,2017,2826
Israel,2016,2787
Israel,2015,2851
Israel,2014,2863
Israel,2013,3233
Israel,2012,3174
Israel,2011,3639
Israel,2010,3824
Israel,2009,4394
Israel,2008,4504
Israel,2007,4714
Israel,2006,5228
Israel,2005,5261
Israel,2004,5531
Israel,2003,5670
Israel,2002,5946
Israel,2001,5929
Israel,2000,6622
Italy,1998,5164
Italy,1997,4763
Italy,1963,4507
Italy,1962,4467
Italy,1961,4387
Italy,1960,4010
Italy,1973,4850
Italy,1972,4924
Italy,1971,4521
Italy,1970,4241
Italy,1969,4329
Italy,1968,4416
Italy,1967,4298
Italy,1966,4102
Italy,1965,4184
Italy,1964,4554
Italy,1996,4647
Italy,1995,4566
Italy,1994,4208
Italy,1993,3802
Italy,1992,4245
Italy,1991,4239
Italy,1990,3897
Italy,1989,3817
Italy,1988,4029
Italy,1987,3843
Italy,1986,3766
Italy,1985,3819
Italy,1984,3845
Italy,1983,3885
Italy,1982,3845
Italy,1981,3986
Italy,1980,3949
Italy,1979,3934
Italy,1978,3696
Italy,1977,3741
Italy,1976,3912
Italy,1975,4147
Italy,1974,4251
Italy,2021,3511
Italy,2020,2679
Italy,2019,4041
Italy,2018,4057
Italy,2017,4076
Italy,2016,4110
Italy,2015,4066
Italy,2014,4131
Italy,2013,4256
Italy,2012,4434
Italy,2011,4865
Italy,2010,5094
Italy,2009,5159
Italy,2008,5248
Italy,2007,5546
Italy,2006,5701
Italy,2005,5757
Italy,2004,5934
